Entry number,Entry ID,Source,Street field,Authoritative locality field(s),Lookup street,Lookup locality,Lookup key,Duplicate lookup reused,Original collector category,Original collector status,Review category,Status,Hydrants pill,Reviewed resolution,Resolution confidence,Approximate vicinity anchor,Anchor key,Query attempted,Matched official address,Method used,Score,Latitude,Longitude,Manual override,Notes / unresolved reason,Secondary evidence,Fallback address when grey
1,BLACKWOOD MAIN-1,BLACKWOOD MAIN,ACACIA ROAD,HAWTHORNDENE,ACACIA ROAD,HAWTHORNDENE,ACACIA ROAD|HAWTHORNDENE,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"ACACIA ROAD, HAWTHORNDENE SA","6 ACACIA ROAD, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.01778267216052,138.62171926254342,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
596,CORO EAST & CHERRY-28,CORO EAST & CHERRY,THORLEY ROAD,CLARENDON,THORLEY ROAD,CLARENDON,THORLEY ROAD|CLARENDON,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"THORLEY ROAD, CLARENDON SA","228 THORLEY ROAD, CLARENDON, SOUTH AUSTRALIA, 5157",Reviewed street-only,100,-35.08962331634063,138.660969269417,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
601,BLACKWOOD MAIN-422,BLACKWOOD MAIN,TIPARRA STREET,EDEN HILLS,TIPARRA STREET,EDEN HILLS,TIPARRA STREET|EDEN HILLS,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"TIPARRA STREET, EDEN HILLS SA","1A TIPARRA STREET, EDEN HILLS, SOUTH AUSTRALIA, 5050",Reviewed street-only,100,-35.02758298863426,138.59771575385753,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
609,CORO STREETS-101,CORO STREETS,TURNERS AVENUE,COROMANDEL VALLEY,TURNERS AVENUE,COROMANDEL VALLEY,TURNERS AVENUE|COROMANDEL VALLEY,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"TURNERS AVENUE, COROMANDEL VALLEY SA","14 TURNERS AVENUE, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.03085628330749,138.62742498107204,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
613,BLACKWOOD MAIN-432,BLACKWOOD MAIN,UPPER STURT ROAD,GLENALTA,UPPER STURT ROAD,GLENALTA,UPPER STURT ROAD|GLENALTA,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"UPPER STURT ROAD, GLENALTA SA","70 UPPER STURT ROAD, GLENALTA, SOUTH AUSTRALIA, 5052",Reviewed street-only,100,-35.00628833986301,138.6326722853638,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
620,BLACKWOOD PARK-53,BLACKWOOD PARK,VERDELHO AVENUE,CRAIGBURN FARM,VERDELHO AVENUE,CRAIGBURN FARM,VERDELHO AVENUE|CRAIGBURN FARM,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"1 VERDELHO AVENUE, CRAIGBURN FARM SA","1 VERDELHO STREET, CRAIGBURN FARM, SOUTH AUSTRALIA, 5051",Reviewed No. 1,89.24,-35.03411356817037,138.61519633213882,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for VERDELHO STREET, CRAIGBURN FARM.",,
626,BLACKWOOD MAIN-441,BLACKWOOD MAIN,WAITE STREET,BLACKWOOD,WAITE STREET,BLACKWOOD,WAITE STREET|BLACKWOOD,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"WAITE STREET, BLACKWOOD SA","17A WAITE STREET, BLACKWOOD, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.019140126192994,138.6139326244404,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
631,BLACKWOOD MAIN-444,BLACKWOOD MAIN,WATAHAUNA AVENUE,HAWTHORNDENE,WATAHAUNA AVENUE,HAWTHORNDENE,WATAHAUNA AVENUE|HAWTHORNDENE,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"WATAHAUNA AVENUE, HAWTHORNDENE SA","LOT 2 WATAHUNA AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",Reviewed street-only,98.21,-35.02028215933262,138.6232672333193,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for WATAHUNA AVENUE, HAWTHORNDENE.",,
642,CORO EAST & CHERRY-31,CORO EAST & CHERRY,WEYMOUTH ROAD,CHERRY GARDENS,WEYMOUTH ROAD,CHERRY GARDENS,WEYMOUTH ROAD|CHERRY GARDENS,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"WEYMOUTH ROAD, CHERRY GARDENS SA","206 WEYMOUTH ROAD, CHERRY GARDENS, SOUTH AUSTRALIA, 5157",Reviewed street-only,100,-35.06110984407421,138.65010341111972,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
643,CORO EAST & CHERRY-30,CORO EAST & CHERRY,WEYMOUTH ROAD,CORO EAST,WEYMOUTH ROAD,CORO EAST,WEYMOUTH ROAD|CORO EAST,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"WEYMOUTH ROAD, CORO EAST SA","LOT 2 WEYMOUTH ROAD, COROMANDEL EAST, SOUTH AUSTRALIA, 5157",Reviewed street-only,100,-35.05836594046381,138.6317664858705,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for WEYMOUTH ROAD, COROMANDEL EAST.",,
644,CORO EAST & CHERRY-32,CORO EAST & CHERRY,WILDHEATH ROAD,CORO EAST,WILDHEATH ROAD,CORO EAST,WILDHEATH ROAD|CORO EAST,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"WILDHEATH ROAD, CORO EAST SA","10 WILDHEATH RISE, COROMANDEL EAST, SOUTH AUSTRALIA, 5157",Reviewed street-only,82.07,-35.03857888216895,138.63170636013822,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for WILDHEATH RISE, COROMANDEL EAST.",,
646,BLACKWOOD PARK-58,BLACKWOOD PARK,WILLIAM RUFUS PLACE,CRAIGBURN FARM,WILLIAM RUFUS PLACE,CRAIGBURN FARM,WILLIAM RUFUS PLACE|CRAIGBURN FARM,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"WILLIAM RUFUS PLACE, CRAIGBURN FARM SA","3 WILLIAM RUFUS PLACE, CRAIGBURN FARM, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.04498333997672,138.61178179536074,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
652,BLACKWOOD MAIN-456,BLACKWOOD MAIN,WILPENA COURT,EDEN HILLS,WILPENA COURT,EDEN HILLS,WILPENA COURT|EDEN HILLS,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"1 WILPENA COURT, EDEN HILLS SA","1 WILPENA CLOSE, EDEN HILLS, SOUTH AUSTRALIA, 5050",Reviewed No. 1,89.24,-35.0218297743349,138.6063274308549,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for WILPENA CLOSE, EDEN HILLS.",,
655,BLACKWOOD MAIN-458,BLACKWOOD MAIN,WINDARA COURT,BELAIR,WINDARA COURT,BELAIR,WINDARA COURT|BELAIR,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"1 WINDARA COURT, BELAIR SA","1 WINDARRA COURT, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed No. 1,98.8,-35.00849395807144,138.60591170944565,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for WINDARRA COURT, BELAIR.",,
657,BLACKWOOD MAIN-460,BLACKWOOD MAIN,WINNS ROAD,COROMANDEL VALLEY,WINNS ROAD,COROMANDEL VALLEY,WINNS ROAD|COROMANDEL VALLEY,Yes,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"WINNS ROAD, COROMANDEL VALLEY SA","14 WINNS ROAD, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.03160127314998,138.62152198610232,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
658,CORO STREETS-106,CORO STREETS,WINNS ROAD,COROMANDEL VALLEY,WINNS ROAD,COROMANDEL VALLEY,WINNS ROAD|COROMANDEL VALLEY,Yes,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"WINNS ROAD, COROMANDEL VALLEY SA","14 WINNS ROAD, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.03160127314998,138.62152198610232,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
664,CORO EAST & CHERRY-33,CORO EAST & CHERRY,WOODCUTTERS ROAD,CORO EAST,WOODCUTTERS ROAD,CORO EAST,WOODCUTTERS ROAD|CORO EAST,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"WOODCUTTERS ROAD, CORO EAST SA","3 WOODCUTTERS ROAD, COROMANDEL EAST, SOUTH AUSTRALIA, 5157",Reviewed street-only,100,-35.04582172037968,138.66590527184047,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for WOODCUTTERS ROAD, COROMANDEL EAST.",,
665,BLACKWOOD PARK-60,BLACKWOOD PARK,WOODLAKE DRIVE,CRAIGBURN FARM,WOODLAKE DRIVE,CRAIGBURN FARM,WOODLAKE DRIVE|CRAIGBURN FARM,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"WOODLAKE DRIVE, CRAIGBURN FARM SA","6 WOODLAKE DRIVE, CRAIGBURN FARM, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.03653300629064,138.61459382960862,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
